Scaffold	GeneID	BioType
NC_031965.2	nkpd1	protein_coding
NC_031965.2	LOC100698578	protein_coding
NC_031965.2	LOC100692979	protein_coding
NC_031965.2	tgfbrap1	protein_coding
NC_031965.2	cul4a	protein_coding
NC_031965.2	lamp1	protein_coding
NC_031965.2	grtp1	protein_coding
NC_031965.2	adprhl1	protein_coding
NC_031965.2	dcun1d2	protein_coding
NC_031965.2	tmco3	protein_coding
NC_031965.2	atp4b	protein_coding
NC_031965.2	grk1	protein_coding
NC_031965.2	tmem255b	protein_coding
NC_031965.2	gas6	protein_coding
NC_031965.2	pros1	protein_coding
NC_031965.2	rasa3	protein_coding
NC_031965.2	tpp2	protein_coding
NC_031965.2	LOC100690019	protein_coding
NC_031965.2	LOC102080134	protein_coding
NC_031965.2	LOC102080054	protein_coding
NC_031965.2	ercc5	protein_coding
NC_031965.2	blzf1	protein_coding
NC_031965.2	trmt10c	protein_coding
NC_031965.2	txnl4b	protein_coding
NC_031965.2	mrpl16	protein_coding
NC_031965.2	LOC112846227	lncRNA
NC_031965.2	LOC100711837	protein_coding
NC_031965.2	LOC100711569	protein_coding
NC_031965.2	LOC112846229	lncRNA
NC_031965.2	LOC100711032	protein_coding
NC_031965.2	LOC106098274	lncRNA
NC_031965.2	LOC100710764	protein_coding
NC_031965.2	LOC112847392	lncRNA
NC_031965.2	LOC100710496	protein_coding
NC_031965.2	LOC106098269	lncRNA
NC_031965.2	LOC112847316	lncRNA
NC_031965.2	LOC100710239	protein_coding
NC_031965.2	LOC102080850	protein_coding
NC_031965.2	LOC100696715	protein_coding
NC_031965.2	LOC109201878	lncRNA
NC_031965.2	LOC106098275	protein_coding
NC_031965.2	LOC102081837	protein_coding
NC_031965.2	LOC100709972	protein_coding
NC_031965.2	LOC100696267	protein_coding
NC_031965.2	LOC100709700	protein_coding
NC_031965.2	LOC102082172	lncRNA
NC_031965.2	nsun3	protein_coding
NC_031965.2	LOC100695831	protein_coding
NC_031965.2	rrad	protein_coding
NC_031965.2	cdh16	protein_coding
NC_031965.2	ca7	protein_coding
NC_031965.2	nae1	protein_coding
NC_031965.2	LOC102083064	protein_coding
NC_031965.2	dync1li2	protein_coding
NC_031965.2	cmtm4	protein_coding
NC_031965.2	cmtm3	protein_coding
NC_031965.2	LOC100694329	protein_coding
NC_031965.2	galns	protein_coding
NC_031965.2	LOC106098270	lncRNA
NC_031965.2	LOC102075844	lncRNA
NC_031965.2	trappc2l	protein_coding
NC_031965.2	pabpn1l	protein_coding
NC_031965.2	cbfa2t3	protein_coding
NC_031965.2	acsf3	protein_coding
NC_031965.2	cdh15	protein_coding
NC_031965.2	spg7	protein_coding
NC_031965.2	ankrd11	protein_coding
NC_031965.2	slc22a31	protein_coding
NC_031965.2	dpep1	protein_coding
NC_031965.2	LOC100706212	protein_coding
NC_031965.2	LOC100705942	protein_coding
NC_031965.2	LOC106098272	protein_coding
NC_031965.2	dhodh	protein_coding
NC_031965.2	LOC100693343	protein_coding
NC_031965.2	ist1	protein_coding
NC_031965.2	mphosph10	protein_coding
NC_031965.2	mcee	protein_coding
NC_031965.2	LOC100692258	protein_coding
NC_031965.2	LOC100691806	protein_coding
NC_031965.2	lin7c	protein_coding
NC_031965.2	bdnf	protein_coding
NC_031965.2	LOC112846393	lncRNA
NC_031965.2	kif18a	protein_coding
NC_031965.2	mettl15	protein_coding
NC_031965.2	LOC112846428	lncRNA
NC_031965.2	LOC102081115	protein_coding
NC_031965.2	LOC109201917	lncRNA
NC_031965.2	LOC112846432	protein_coding
NC_031965.2	LOC112847042	protein_coding
NC_031965.2	lgr4	protein_coding
NC_031965.2	mybpc3	protein_coding
NC_031965.2	spi1	protein_coding
NC_031965.2	slc39a13	protein_coding
NC_031965.2	LOC100690194	protein_coding
NC_031965.2	LOC100704610	protein_coding
NC_031965.2	LOC100704341	protein_coding
NC_031965.2	LOC100704073	protein_coding
NC_031965.2	LOC109201932	lncRNA
NC_031965.2	LOC109202829	lncRNA
NC_031965.2	LOC109202837	lncRNA
NC_031965.2	LOC102081887	lncRNA
NC_031965.2	LOC106097490	lncRNA
NC_031965.2	LOC109194166	protein_coding
NC_031965.2	LOC100695720	protein_coding
NC_031965.2	LOC109201971	lncRNA
NC_031965.2	LOC109201973	lncRNA
NC_031965.2	LOC109201978	lncRNA
NC_031965.2	LOC109201976	lncRNA
NC_031965.2	igdcc3	protein_coding
NC_031965.2	LOC102081440	lncRNA
NC_031965.2	LOC109194173	lncRNA
NC_031965.2	LOC102081594	lncRNA
NC_031965.2	cilp	protein_coding
NC_031965.2	eif3j	protein_coding
NC_031965.2	LOC102081891	protein_coding
NC_031965.2	ctdspl2	protein_coding
NC_031965.2	casc4	protein_coding
NC_031965.2	fam189a1	protein_coding
NC_031965.2	LOC100698737	protein_coding
NC_031965.2	LOC106098007	lncRNA
NC_031965.2	terb2	protein_coding
NC_031965.2	LOC109201996	protein_coding
NC_031965.2	sord	protein_coding
NC_031965.2	LOC100697933	protein_coding
NC_031965.2	LOC100697670	pseudogene
NC_031965.2	syt7	protein_coding
NC_031965.2	sdhaf2	protein_coding
NC_031965.2	cpsf7	protein_coding
NC_031965.2	polr2l	protein_coding
NC_031965.2	LOC102076016	lncRNA
NC_031965.2	dagla	protein_coding
NC_031965.2	ext2	protein_coding
NC_031965.2	LOC100695379	protein_coding
NC_031965.2	LOC100696604	protein_coding
NC_031965.2	LOC100696340	protein_coding
NC_031965.2	LOC100696074	protein_coding
NC_031965.2	LOC100694759	protein_coding
NC_031965.2	LOC100694489	protein_coding
NC_031965.2	LOC100695816	protein_coding
NC_031965.2	pde3b	protein_coding
NC_031965.2	copb1	protein_coding
NC_031965.2	rras2	protein_coding
NC_031965.2	tub	protein_coding
NC_031965.2	LOC109202035	lncRNA
NC_031965.2	LOC112846568	lncRNA
NC_031965.2	LOC102077149	protein_coding
NC_031965.2	LOC112846566	lncRNA
NC_031965.2	LOC100695017	protein_coding
NC_031965.2	LOC112846565	lncRNA
NC_031965.2	stk33	protein_coding
NC_031965.2	trnag-ccc	tRNA
NC_031965.2	LOC102078235	protein_coding
NC_031965.2	st5	protein_coding
NC_031965.2	tmem9b	protein_coding
NC_031965.2	scube2	protein_coding
NC_031965.2	LOC100692604	protein_coding
NC_031965.2	dennd5a	protein_coding
NC_031965.2	tmem41b	protein_coding
NC_031965.2	ipo7	protein_coding
NC_031965.2	swap70	protein_coding
NC_031965.2	sbf2	protein_coding
NC_031965.2	adm	protein_coding
NC_031965.2	ampd3	protein_coding
NC_031965.2	lyve1	protein_coding
NC_031965.2	mrvi1	protein_coding
NC_031965.2	ctr9	protein_coding
NC_031965.2	eif4g2	protein_coding
NC_031965.2	LOC102080285	lncRNA
NC_031965.2	LOC112846650	lncRNA
NC_031965.2	galnt18	protein_coding
NC_031965.2	LOC102080358	lncRNA
NC_031965.2	LOC109202892	protein_coding
NC_031965.2	btbd10	protein_coding
NC_031965.2	LOC100693148	protein_coding
NC_031965.2	tead1	protein_coding
NC_031965.2	LOC102081595	lncRNA
NC_031965.2	mical2	protein_coding
NC_031965.2	LOC109202135	protein_coding
NC_031965.2	LOC109202144	pseudogene
NC_031965.2	LOC100692334	protein_coding
NC_031965.2	usp47	protein_coding
NC_031965.2	clec3a	protein_coding
NC_031965.2	vat1l	protein_coding
NC_031965.2	bola3	protein_coding
NC_031965.2	LOC100691524	protein_coding
NC_031965.2	LOC112846606	lncRNA
NC_031965.2	LOC100691255	protein_coding
NC_031965.2	kars	protein_coding
NC_031965.2	LOC102083248	lncRNA
NC_031965.2	LOC100712533	protein_coding
NC_031965.2	rpl13	protein_coding
NC_031965.2	LOC112847431	snoRNA
NC_031965.2	LOC112847427	snoRNA
NC_031965.2	cpne7	protein_coding
